Incident ID,Year,Month,Day,Country Code,Country,Region,District,City,UN,INGO,ICRC,NRCS and IFRC,NNGO,Other,Nationals killed,Nationals wounded,Nationals kidnapped,Nationals detained,Total nationals,Internationals killed,Internationals wounded,Internationals kidnapped,Internationals detained,Total internationals,Total killed,Total wounded,Total kidnapped,Total detained,Total affected,Gender Male,Gender Female,Gender Unknown,Means of attack,Attack context,Location,Latitude,Longitude,Motive,Actor type,Actor name,Details,Verified,Source
#event+id,#date+year,#date+month,#date+day,#country+code,#country+name+i_en,#adm1+name+i_en,#adm2+name+i_en,#adm3+name+i_en,#affected+UN,#affected+INGO,#affected+ICRC,#affected+IFRC,#affected+NGO,#affected+other,#affected+killed+national,#affected+injured+national,#affected+kidnapped+national,#affected+detained+national,#affected+total+national,#affected+killed+international,#affected+injured+international,#affected+kidnapped+international,#affected+detained+international,#affected+total+international,#affected+total+killed,#affected+total+injured,#affected+total+kidnapped,#affected+total+detained,#affected+total,#affected+total+m,#affected+total+f,#affected+total+i,#event+means+i_en,#event+type+i_en,#loc+type+i_en,#geo+lat,#geo+lon,#x_event_motive,#group+type+i_en,#group+name+i_en,#description+i_en,,
1570,2013,9,2,SY,Syrian Arab Republic,Aleppo,Aleppo,Sejou,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,Kidnap-killing,Individual attack,Project site,3.621.614,37.166.897,Political,Unknown,Unknown,A Syrian doctor was kidnapped from Sejou village where he was working and found killed one day later in Aleppo province.,Yes,Media
1571,2013,9,5,AF,Afghanistan,Sar-e Pol,Kohistanat,Tarikak,0,0,0,0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,5,0,5,5,0,0,Kidnapping,Unknown,Unknown,35.423.689,65.975.326,Political,Non-state armed group: Unknown,Not applicable,"Three male NGO national staff members and two drivers - affiliated with an NSP project - were kidnapped and released three days later on September 8th following negotiations by the local community, elders and community representatives to help secure their release.",Yes,Official Report
1675,2013,9,5,AM,Armenia,Yerevan,Yerevan,Yerevan,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,Bodily assault,Mob violence,Unknown,40.182.387,44.511.848,Unknown,Unknown,Unknown,One INGO staff member was beaten by a group of unknown men in Yerevan. He was subsequently hospitalized and required surgery.,Yes,Focal Point
1572,2013,9,7,SS,South Sudan,Unity,Rubkona,Bentiu,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,Bodily assault,Individual attack,Home,9.259.642,29.800.035,Unknown,Unknown,Unknown,"One UN staff member was assaulted by three persons who allegedly disguised themselves as visitors at his residence in Kalibalak, Bentiu. He was evacuated to the hospital.",Yes,Official Report
1574,2013,9,7,CF,Central African Republic,Ouham,Bossangoa,Bossangoa,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2,2,0,0,Unknown,Ambush,Road,6.491.239,1.745.499,Unknown,Unknown,Unknown,"During an evacuation, two national staffers of an INGO were killed in transit while returning to base from a construction site in the area of Bossangoa.",Yes,Focal Point
1851,2013,9,7,SO,Somalia,Banadir,Banadir,"Mogadishu, near Village Restaurant",0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,Body-borne IED,Combat/Crossfire,Public location,2.032.836,4.533.976,Incidental,Non-state armed group: National,Al Shabaab,An INGO guard was wounded during an Al Shabaab attack.,Yes,Official Report
1680,2013,9,7,SV,El Salvador,,,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,Shooting,Individual attack,Public location,13.692.667,-89.218.216,Economic,Unknown,Unknown,One international consultant was shot and killed as he was withdrawing money from a bank.,Yes,Focal Point
1742,2013,9,7,AF,Afghanistan,Daykondi,Shahristan,Chaprasak Bazaar (near),2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,2,0,0,Bodily assault,Mob violence,Road,33.786.498,66.714.834,Incidental,Unaffiliated,Community members,Two UN-contracted drivers were severely beaten by local community members for giving a ride to two women who were allegedly running away from their families. Both drivers were hospitalized and warned not to give rides to non-UN personnel.,Yes,Focal Point
1573,2013,9,8,SS,South Sudan,Central Equatoria,Juba,Tomping,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,Bodily assault,Raid,Office/compound,4.873.301,31.589.264,Economic,Unknown,Unknown,"Robbers at a UN compound assaulted the UN-contracted guard, who was taken to the hospital for treatment.",Yes,Official Report
1575,2013,9,8,AF,Afghanistan,Wardak,Maidan Shahr ,Bazaar Area (Kabul-Ghazni Highway),0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,2,Complex attack,Combat/Crossfire,Office/compound,34.361.066,68.851.885,Incidental,Non-state armed group: National,Unknown,Two NGO staff members were hospitalized as a result of an AOG-initiated bomb blast accompanying a complex attack close to the NGO office. The NGO office was not the target of the attack.,Yes,Official Report
1753,2013,9,12,SY,Syrian Arab Republic,Deir ez-Zor,Deir ez-Zor,Kabajeb,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,Kidnapping,Ambush,Road,35.076.682,39.680.846,Political,Unknown,Unknown,"One UN-contracted driver was stopped by an unknown armed group in Kabajeb village, but was forced to drive to Mhambil village and off-load the cargo. The driver was detained for two days and was released with his empty truck on 14 September 2013.",Yes,Focal Point
1578,2013,9,13,PH,Philippines,Zamboanga del Sur,2nd,"Barangay Station, Catalina",0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,5,0,0,5,0,0,5,Other Explosives,Combat/Crossfire,Public location,6.908.154,122.088.461,Incidental,Non-state armed group: National,Moro National Liberation Front (MNLF),"Five local NRCS volunteers were injured when Nur Misuari-led faction of the Moro National Liberation Front (MNLF) fired a rifle grenade in Barangay Sta. Catalina, Zamboanga City.",Pending,Media
1577,2013,9,14,AF,Afghanistan,Herat,Ghoryan ,Du Poshta (Herat-Islam Qala Main Road),0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,2,2,0,0,Kidnapping,Ambush,Road,34.476.697,61.410.496,Political,Non-state armed group: National,Unknown,Two national staff members of a demining INGO were kidnapped by AOG while traveling from Islam Qala toward Herat. They were released the following day.,Yes,Official Report
1734,2013,9,16,PK,Pakistan,Khyber Pakhtunkhwa,Dera Ismail Khan,"Paharpur, Humanitarian Hub",0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,Shooting,Unknown,Unknown,3.210.564,70.972.262,Economic,Unknown,Unknown,"An NGO security guard was shot during an armed robbery. He later died from his wounds two days later, on 18 September.",Yes,Focal Point
1664,2013,9,19,CD,DR Congo,North Kivu,Goma,Goma,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,Shooting,Individual attack,Home,-1.659.905,29.221.005,Economic,Unknown,Unknown,"An INGO national staff member was shot and injured just as he reached his house, on his way home from work. He was subsequently hospitalized.",Yes,Focal Point
1579,2013,9,22,PK,Pakistan,Sindh,Sukkur,Dingro Wah,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,Kidnap-killing,Unknown,Unknown,2.800.069,6.931.894,Unknown,Unknown,Unknown,One female social worker employed by a local NGO was kidnapped by unidentified armed men and killed.,Yes,Official Report
1688,2013,9,22,SO,Somalia,Sanaag,Erigavo,Erigavo,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,Bodily assault,Mob violence,Project site,10.616.478,47.366.652,Economic,Aid recipient,Refugees,"One INGO staff member was attacked by refugees, who were upset about the lack of food. The staff member sufferred a broken nose.",Yes,Focal Point
1580,2013,9,23,SS,South Sudan,Warrap,Gogrial West,Kuajok,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,Bodily assault,Individual attack,Public location,8.492.154,27.993.158,Unknown,Aid recipient,Not applicable,"One UN staff member was assaulted after group of people at the scene of road traffic accident forcibly asked the staff member to transport a non-UN casualty to a hospital - while the injured was being received at the hospital, an unknown person assaulted the staff member.",Yes,Official Report
1581,2013,9,23,KE,Kenya,Nairobi,Nairobi,Nairobi,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,3,0,0,3,Complex attack,Combat/Crossfire,Public location,-1.256.975,36.803.277,Incidental,Non-state armed group: National,Al Shabaab,Two UN personnel and a UN contractor were reported injured during a complex attack by al-Shabaab at the Westgate Shopping Mall in Nairobi.,Yes,Official Report
1582,2013,9,23,AF,Afghanistan,Farah,Anar Dara,Dashte Baboos (Anar Dara-Farah Main Road),0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,Kidnapping,Ambush,Road,32.884.819,61.140.623,Political,Non-state armed group: National,Unknown,"One NGO ambulance driver was kidnapped by AOG at an illegal checkpoint. The driver was released unharmed in the Islam Abad area of Khaki Safed District unharmed, following the intervention of local elders.",Yes,Official Report
1583,2013,9,23,PK,Pakistan,Sindh,Ghotki,Ghotki,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,Shooting,Individual attack,Unknown,28.000.421,69.318.844,Incidental,Unaffiliated,Spouse,One female NGO worker was shot and killed by her husband in an honor killing.,Pending,Media
